"Symbol","Control1","Control2","Control3","Aldo1","Aldo2","Aldo3"
"SAMM50",3.25644099994062,3.12048150004274,3.20332720006301,3.14178089998425,3.04214200002151,2.96513460006604
"SAMSN1",-0.881437300934168,-0.594531999004498,-0.840535159032588,-0.0309162147033047,-0.281758300590164,-0.125326160346529
"SAP130",1.8605059998727,1.83771699988479,1.81788159998359,1.65214160013347,1.69107339996243,1.59771349981007
"SAP18",1.53501576728344,1.47200936663398,1.62183063422691,1.54213493398517,1.48177653361515,1.40742110057033
"SAP25",8.25195399989619,8.26623900008247,8.14401900007352,8.39881400012809,8.18280100001556,8.14132700007566
"SAP30",2.19471930013841,2.53184029994557,2.61400800002605,2.89244080007385,2.77795119999012,2.85670280003078
"SAP30BP",1.07381870023696,1.04739616521112,1.04933262519703,1.15298270020856,1.05786893483104,1.10234209999473
"SAP30L",0.0850987497694439,0.135193799278089,0.138806349557581,0.14753580052546,0.132604100658008,0.0656322999681189
"SAR1A",2.40463494990684,2.3230414000745,2.26764534989398,2.39154725001093,2.23405220004999,2.31606959988628
"SAR1B",-0.617009198216186,-0.506196751084156,-0.67927409863138,-0.772086651697623,-0.81501864777836,-0.739587499036406
"SARDH",-2.71346329537866,-2.79884820495624,-2.71864800265492,-2.67813099911177,-1.60633660197917,-1.59809679918743
"SARM1",-3.24530170291943,-3.17221740165716,-3.42573070618044,-3.09055999471378,-3.41654159437632,-3.05763200297202
"SARNP",3.51345249989004,3.40778684992521,3.41867630008064,3.5084466999909,3.26250554994221,3.33644015018228
"SARS",0.727928650517401,1.07760950040727,0.936181550536678,0.754550500660956,1.06488420058858,1.1029390994033
"SARS2",-0.297077179354195,-0.227858539227502,-0.251427649407229,-0.160095210171498,-0.385486600020153,-0.32515050052359
"SART1",2.64366150006244,2.59665009992876,2.62585160001834,2.60242459995723,2.43235020007381,2.39261819993435
"SART3",0.67957690033503,0.726007460189731,0.665513999633286,0.660353659832875,0.543233899875211,0.480687140149214
"SASH1",2.70673240014391,2.8028761899922,2.68148544314235,2.62715405332312,2.75784431336908,2.79518413339934
"SAT1",3.37058974987966,3.82065864972985,3.3865485497656,4.10569150021175,3.70993950028583,4.19083164990539
"SAT2",4.4658413002175,4.49960230006302,4.43943399980685,4.32562259993794,4.26723859999604,4.34858699970773
"SATB1",-1.29669380011089,-1.32976629991228,-1.22158239854269,-1.48796080097342,-1.3101739999185,-1.76396850053346
"SATB2",-2.40873899657497,-2.61532970025695,-2.59987550112413,-2.2088013010591,-2.25345179807523,-2.44101099697115
"SAV1",-0.120717500084144,0.0537590996904612,-0.153234500357566,0.489428985366018,0.187686429701318,0.410569170549987
"SBDS",1.00225115001782,1.23190689980894,1.11162994984568,1.2608747499308,1.29579689977753,1.38012840006913
"SBF1",-0.612208369737037,-0.692058561125966,-0.449395180208165,-0.504193299874022,-0.584865569297733,-0.675430298961391
"SBF2",-1.25011539884212,-1.10433009975103,-1.03792569980535,-1.05809310126677,-1.10676770055034,-1.20886040026112
"SBK2",-0.596165659061108,-2.99103640483509,-3.28399420463039,-2.76555349921208,-1.38225940170086,-1.83253379840039
"SBNO1",-1.11111498112055,-1.1718366186286,-1.03103828042469,-1.27102873580377,-1.06460429961281,-1.20979512334442
"SBNO2",-2.14097599946235,-2.08185389884533,-2.05909729774704,-2.27514459990977,-2.35666599689349,-2.21481319973063
"SC5DL",0.621442800281352,0.433263785255974,0.330773350325761,0.541435218173514,0.395697589622694,0.362460125274155
"SCAF1",-0.0223274493975626,-0.0012140501821748,0.0831794508751752,0.193159549876081,0.438368300429815,0.494397700121652
"SCAF11",-0.439311984336117,-0.280061245468783,-0.309356200528514,-0.391626345688823,-0.234101765165064,-0.246340275290861
"SCAF4",-1.72149089949963,-1.81047629930547,-1.745707500858,-1.71489239918776,-1.72662640195686,-1.72273060221201
"SCAF8",-0.183781144765085,-0.317203054674691,-0.311716559649512,-0.177243235127283,-0.259106635303768,-0.294996262963969
"SCAI",-1.37941360080818,-1.33709240100065,-1.71019550070628,-1.60420990129826,-1.69223980149757,-1.47162909814232
"SCAMP1",-1.6398854335501,-1.49997487630397,-1.54850975136214,-1.6368586148849,-1.53951468731356,-1.62072976739993
"SCAMP2",-0.415027619737031,-0.414974199056349,-0.4983663603033,-0.357524869357504,-0.589293500169311,-0.497241020673923
"SCAMP3",1.41043189981561,1.51537320012796,1.40025620002292,1.53714749987677,1.2241287001912,1.32581519980639
"SCAMP4",-0.906534201084308,-1.14560989929993,-1.09500120102539,-1.00347799952041,-1.28131390157279,-1.23739149965745
"SCAMP5",-0.514621730640012,-0.586517330009684,-0.716927500387341,-0.684316640814089,-0.98225690037604,-0.894250869783586
"SCAND1",1.37101700002468,1.25840994984292,0.974473929881711,1.14270924991708,0.691405764748622,0.82666539978215
"SCAND2",-2.0390043016636,-1.95873169722021,-1.97432799908641,-1.97615910262794,-1.92713450104907,-2.07118229920112
"SCAP",2.45355699987445,2.31967930003252,2.38331320007117,2.5007410000209,2.18558499984297,2.15469739985372
"SCAPER",-2.96453520367482,-2.60313320247911,-2.80035020205272,-2.80104639946931,-2.61283920350785,-2.55796299717563
"SCARA3",0.375472069856883,-0.217849730801749,-0.337794299782158,0.311698899499353,-0.30588530928465,-0.198367120026034
"SCARA5",-3.01850269521264,-3.13933939549232,-2.91336680365162,-2.99398329871532,-2.05397219964951,-2.16179280175241
"SCARB1",-0.147258800382779,-0.0931992333636883,-0.12159109977305,-0.185240933003506,-0.203865366813953,-0.238619998212479
"SCARB2",-0.813328998405404,-0.926650999760564,-0.798012751585707,-0.76082254677995,-0.849556201482388,-0.873098849510997
"SCARF1",0.874033000314266,1.03332229993552,1.16192050001132,0.52256009991672,0.663920400074838,0.457896229751391
"SCARF2",-0.592119251446461,-0.489325502800926,-0.719344847619319,-0.319247949057538,-0.339387397982711,-0.207119999183996
"SCARNA17",1.20673270018052,1.19121739975722,1.22413919980955,1.2016419998285,1.12116999983796,1.06224159985902
"SCCPDH",3.76706980027415,3.47128099967159,3.46457670000696,3.82051279967886,3.48931699976928,3.50267980063008
"SCD",1.350692083194,1.19562881331987,1.25381790024618,1.1314811800918,0.969857863480961,0.864021296485312
"SCD5",0.202473155283153,-0.0663466355384577,0.145194040040643,0.23428060063164,0.173013215228614,-0.104776855251065
"SCFD1",1.48516750023185,1.63184498489851,1.54430391489757,1.5620570001643,1.6254601299037,1.71165369993745
"SCFD2",-0.934313799262539,-0.889322300767037,-0.818890600676164,-1.22302250111616,-1.06889060143038,-1.14392470001164
"SCG2",-2.98172039927413,-3.37338500120225,-2.77304840150503,-2.9349236030319,-3.15667400124522,-3.54264159296371
"SCG5",-2.73207039963709,-1.79748920165848,-2.35503629735075,-3.29332880199434,-2.7826948041659,-2.37553739909064
"SCGB3A2",-0.552149800063466,-0.336301800395421,-0.200859069782101,-1.63871290061767,-0.458328249843948,-0.56173324919292
"SCHIP1",4.53660599996949,4.46699330016899,4.33898930007019,4.53167439986936,4.37762360009847,4.43652340010497
"SCLT1",-3.25210500238985,-2.86395620086195,-2.7116189035887,-3.18667440219514,-2.78389355109168,-3.00004379726514
"SCLY",-0.624432540565069,-0.437036513362691,-0.270246510488668,-0.873176549322539,-0.419442651658672,-0.623507010502929
"SCMH1",-1.20316219881066,-1.11565020091432,-1.07647320049152,-1.00731179980563,-1.07116509956398,-1.0646304994582
"SCML1",-1.78844834975291,-1.77047155071055,-1.97061394905274,-2.02622035277475,-1.98462554994817,-1.80473684996285
"SCN8A",-1.38315294877362,-1.42149974914401,-1.40120510011008,-1.72412535036858,-1.67556810006586,-1.66649725018725
"SCNM1",0.773383599435135,0.971212374588156,0.997231500438163,0.954518849551019,1.0500812646031,1.05505940038611
"SCO1",1.98809239992008,1.92678830007124,1.97880649999324,1.83858870008191,1.86153409999093,1.724473000111
"SCO2",1.50274179980597,1.68665979999148,1.69414330015806,1.79976079995618,1.60954669987901,1.76426700002781
"SCOC",-1.59279372075963,-1.44077897554006,-1.48939799731987,-1.43245866036317,-1.31865958113003,-1.47635815018388
"SCP2",3.36222649952457,3.12080100005039,3.17234130001545,3.19429779993394,3.1144228000301,2.90295399998874
"SCPEP1",3.0178404000151,3.2214699000294,3.1402720999359,3.19570059993356,3.02993770003995,3.03870770007361
"SCRIB",4.00209329996099,3.75933169975297,4.00059299979802,3.93646719954413,3.98021320040237,3.73440930032812
"SCRN1",3.69908429998571,3.65565779979775,3.80178929990382,3.80331130038591,3.67518040031997,3.41542630008508
"SCRN2",0.230191241777652,0.287697801503319,0.099775314859954,0.208516590591817,-0.254920485361303,-0.169545649291729
"SCRN3",-0.0828752506966818,-0.162130359628787,-0.150911330395711,-0.266776079706002,-0.316301350553252,-0.272775649399063
"SCRT2",-0.114128109579298,0.263108249491849,0.570014949845481,0.84194470017074,1.38471600007867,1.42461299973542
"SCYL1",2.9935116702219,3.04076574982653,2.94793749986494,3.18659159985584,2.91431950004678,3.05680845007501
"SCYL2",1.30895232492525,1.50748490012354,1.45283934986701,1.18846511505157,1.43597553486813,1.37181329986759
"SCYL3",-1.30752090153265,-1.18143079861446,-1.21008200012962,-1.2981328994556,-1.03983399984416,-1.09655280000516
"SDAD1",-1.42781163921083,-1.07031464757131,-0.97007418375609,-1.07698104861377,-0.89277745330831,-1.00674628867059
"SDC1",1.10663735091206,0.607368898775576,0.86944184905875,0.973679501437438,0.787138448582515,0.532567701521747
"SDC4",-0.591274748683003,-0.72743175144146,-0.750208099776062,-0.693064248126871,-1.03806735386883,-0.996519103797119
"SDCBP",1.8073864300292,2.02928636523479,2.05267911498376,1.69915718437464,1.86968089947265,1.89269105014358
"SDCBP2",-0.610602400958845,-0.798367501236918,-1.04848769875202,-0.521101000759623,-1.3690700010641,-1.06393909988277
"SDCCAG3",2.78248980000116,2.87378699992083,2.8566550999079,2.79917809993412,2.68228340000312,2.84805579997155
"SDCCAG8",-1.79253356847162,-1.32078300031463,-1.310330067639,-1.84756248558536,-1.42282007980495,-1.39200973435034
"SDF2",1.70221469994034,1.60257144983976,1.75326489990992,1.68864730003569,1.69353059994662,1.50654074989891
"SDF2L1",4.40027329987986,5.60700130003936,5.08283899989753,4.33722399973017,4.7351109999026,5.42473300015695
"SDF4",4.41150670017198,4.42167400014595,4.43209740000329,4.58083799998502,4.32969470003698,4.3189095999536
"SDHA",3.28833340027163,3.11019994985606,3.1567167999621,3.20001365001989,2.90693855000835,2.86191700008323
"SDHAF1",1.19341279973884,1.0706797001265,1.00996500005871,1.092301399687,0.832695960352556,0.88903999990929
"SDHAF2",3.27731419996113,3.14705939998187,3.19315620002168,3.10853199992083,2.98110869998304,2.98696040002148
"SDHAP1",2.12371014992293,2.08458899999934,2.13691615009359,2.20039509997986,1.9003601499877,1.83924344999582
"SDHB",2.54063130011424,2.34362600013462,2.47113799994639,2.32130430000569,2.36975670013223,2.14957239993757
