"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"CDCA8",3313,2827,2362,3417,1947,2606,2690,2903
"EPHA10",509,454,298,542,363,393,263,355
"MANEAL",3163,3320,2344,3359,2355,3316,2378,2756
"YRDC",2513,2559,1721,2872,1820,2414,1951,1973
"C1orf122",2506,2019,1853,2720,2137,2312,1864,2044
"MTF1",2167,2082,1571,2142,1011,1538,1764,1945
"INPP5B",1183,1028,1001,1254,631,924,1082,1083
"SF3A3",7194,6287,5430,8148,4977,6496,5989,5718
"FHL3",380,374,294,374,304,380,263,346
"UTP11",2350,2265,1971,2747,1555,2304,1920,1693
"POU3F1",10,7,5,14,5,3,6,1
"LINC01343",1,0,0,0,0,0,0,0
"RRAGC",1529,1228,1356,1557,724,1190,1039,1153
"MYCBP",0,0,0,1,0,1,0,0
"RHBDL2",7,3,11,7,5,6,5,9
"AKIRIN1",3233,2763,2561,3720,1697,2490,2489,2489
"NDUFS5",7098,5751,6238,9311,6840,7871,6065,5281
"MACF1",10354,8182,5379,10021,3170,5108,6696,7448
"BMP8A",178,175,111,211,82,162,138,146
"PABPC4",9014,8105,6721,9944,5654,7884,6372,6566
"SNORA55",71,54,35,73,19,39,52,54
"HEYL",521,365,284,469,209,278,294,365
"NT5C1A",0,1,0,0,0,0,0,0
"HPCAL4",5,1,2,3,3,0,2,7
"PPIE",3352,2745,2585,3580,2332,2787,2531,2664
"BMP8B",715,612,507,667,318,515,514,585
"OXCT2",22,18,7,21,12,16,6,13
"TRIT1",1168,1101,1182,1360,750,1151,1109,1126
"MYCL",184,110,142,152,117,132,139,207
"MFSD2A",99,142,101,121,114,148,97,127
"CAP1",12908,11090,10751,14381,7016,10245,11793,11835
"PPT1",22453,18614,24457,27813,11487,20168,24053,21646
"RLF",1910,1530,1824,2262,787,1332,1488,1390
"TMCO2",1,3,0,2,0,0,0,1
"ZMPSTE24",3221,3314,3450,3453,1822,2893,2549,2708
"COL9A2",771,531,611,931,497,643,536,567
"SMAP2",3128,2963,2497,3320,2181,2691,2701,2871
"ZFP69B",172,152,137,156,59,116,139,117
"ZFP69",462,510,451,464,282,473,411,360
"EXO5",501,384,392,486,297,348,379,401
"ZNF684",73,68,87,90,47,86,89,75
"RIMS3",392,467,473,440,279,430,490,618
"NFYC",3270,2757,2461,3713,2166,2867,2481,2398
"KCNQ4",498,586,310,471,279,446,313,383
"CITED4",215,205,197,277,271,278,111,175
"CTPS1",6577,7042,4722,7440,4551,6295,5415,5605
"SLFNL1-AS1",49,51,34,59,36,53,32,50
"SLFNL1",86,80,53,80,62,67,59,66
"SCMH1",870,791,725,889,561,834,803,976
"FOXO6",272,210,151,276,182,235,131,233
"EDN2",144,106,82,224,132,213,59,142
"HIVEP3",2298,1486,1263,2153,723,1231,1297,1412
"GUCA2B",0,2,0,0,0,0,0,0
"GUCA2A",1,0,1,0,0,0,0,0
"FOXJ3",4144,3253,3587,4224,1934,2644,3498,3754
"RIMKLA",529,398,444,479,258,370,368,495
"ZMYND12",50,50,56,59,24,43,47,42
"PPCS",2203,2263,2584,2915,1391,2478,2111,2014
"CCDC30",55,45,59,112,23,38,49,51
"PPIH",1983,1610,1564,2474,1614,1928,1564,1544
"YBX1",18623,18907,15989,21859,14130,19926,16078,16677
"CLDN19",1,0,0,0,0,0,0,0
"P3H1",623,504,437,648,413,520,510,527
"C1orf50",491,417,406,619,368,453,395,384
"TMEM269",27,41,25,27,16,23,26,28
"SVBP",309,281,243,452,188,324,221,229
"ERMAP",876,759,600,907,431,657,648,674
"ZNF691",408,285,339,419,240,280,353,319
"SLC2A1",31312,28312,20776,33202,17362,25020,19417,23999
"SLC2A1-DT",102,86,76,153,84,95,105,94
"FAM183A",34,26,24,38,22,21,41,30
"EBNA1BP2",6076,5433,4492,7368,4735,6399,4365,4534
"MIR6733",1,3,1,10,4,2,1,4
"CFAP57",20,13,14,22,11,14,27,18
"TMEM125",1213,913,762,1354,932,934,879,1119
"C1orf210",1011,862,683,1173,643,867,720,794
"TIE1",2,1,1,0,0,0,1,2
"MPL",8,19,12,13,13,17,16,18
"CDC20",8335,6478,5627,8658,5886,6496,5602,6909
"ELOVL1",6352,5891,4528,6927,4393,5918,4866,5649
"MIR6734",1,1,0,2,0,1,2,0
"MED8",1716,1497,1253,1993,1193,1374,1277,1339
"SZT2",2486,2516,1723,2399,966,1651,1950,2750
"HYI",26,30,32,20,20,18,38,25
"PTPRF",27742,23223,18713,28594,12631,17588,17379,24476
"KDM4A",5156,4110,3524,5341,2403,3040,4162,4774
"ST3GAL3",337,273,269,339,268,265,260,292
"ARTN",483,615,347,702,565,765,299,377
"IPO13",2996,2749,1946,3203,1880,2338,2172,2870
"DPH2",3385,3489,2641,3671,2339,3063,2354,3312
"ATP6V0B",7482,6185,5449,8349,5471,6845,4830,5818
"B4GALT2",5191,4598,3592,5648,4124,4598,2949,4020
"CCDC24",867,724,777,1101,695,951,501,671
"SLC6A9",2201,1613,1129,2253,1014,1351,915,1425
"KLF17",1,3,1,1,0,1,0,0
"DMAP1",1977,1502,1503,2226,1483,1724,1236,1515
"ERI3",4042,3574,3184,4452,3105,3812,3061,3410
"ERI3-IT1",22,27,17,34,17,14,15,15
"RNF220",5247,4403,4174,5649,3548,4493,4083,4676
"TMEM53",279,184,178,289,171,201,172,213
"ARMH1",71,58,102,120,63,63,82,74
"RNU5F-1",0,0,2,0,0,0,5,1
"KIF2C",4925,3745,3250,5229,2791,3530,3684,4020
"RPS8",26375,22681,22135,33102,21630,28164,19047,18527
"SNORD55",7,1,6,15,8,8,1,4
"SNORD46",83,46,34,66,17,42,34,45
"SNORD38A",67,57,55,102,62,68,42,58
"SNORD38B",59,42,49,62,29,40,37,42
"BEST4",10,7,15,4,6,4,7,6
"PLK3",430,324,231,533,246,313,220,282
"DYNLT4",16,6,2,6,0,11,10,16
"BTBD19",17,8,6,14,4,18,8,9
"PTCH2",52,37,31,59,36,39,31,54
"EIF2B3",1660,1650,1192,1989,1336,1796,1417,1231
"HECTD3",3418,2991,2404,3319,1938,2553,2645,3256
"UROD",2887,2592,2560,3521,2098,2749,2420,2685
"ZSWIM5",1332,964,916,1296,511,756,959,1145
"LINC01144",100,94,106,114,54,105,87,113
"HPDL",1952,2108,1786,3021,1977,2929,1317,1552
"MUTYH",1078,813,781,1234,699,864,579,740
"TOE1",1069,1032,756,1160,673,942,794,895
"TESK2",409,218,274,408,154,194,296,344
"CCDC163",300,232,257,267,156,237,286,307
"MMACHC",827,828,660,951,478,723,717,711
"PRDX1",41572,34337,37305,46639,29562,36617,38759,35447
"AKR1A1",6072,4977,4313,6766,4139,4986,4710,5061
"NASP",11306,8823,7507,12710,7719,9197,8058,7518
"CCDC17",204,146,142,231,98,122,114,149
"GPBP1L1",7017,6169,5775,7977,4069,5360,6325,6046
"TMEM69",1585,1458,1662,1921,898,1598,1386,1183
"IPP",439,481,428,506,222,393,445,451
"MAST2",5404,4804,3669,5924,3127,4316,3919,5205
"PIK3R3",10240,7923,8571,10999,4921,6920,9037,9090
"TSPAN1",592,474,363,704,394,516,402,433
"POMGNT1",4913,4419,3446,5201,3324,4114,3534,4272
"LURAP1",8,2,9,11,5,2,3,9
"RAD54L",3076,2346,1781,3035,1602,2204,1955,2213
"LRRC41",5054,5008,3679,5418,3094,3976,3740,4434
"UQCRH",6989,5659,6547,8348,6101,7721,5853,5436
"NSUN4",2479,2070,1601,2558,1498,1778,1813,2000
"FAAH",2365,1817,1770,2715,1655,1977,1384,1914
"LINC01398",29,27,11,18,6,24,29,9
"DMBX1",153,140,102,181,86,135,96,125
"MKNK1-AS1",10,10,11,10,4,6,16,14
"MKNK1",1878,1577,1382,1909,962,1309,1276,1447
"MOB3C",669,506,366,693,301,444,425,461
"ATPAF1",2532,2233,2246,2890,1558,2252,2215,2098
"TEX38",3,4,12,12,4,9,4,12
"EFCAB14-AS1",5,10,6,9,4,9,11,6
"EFCAB14",5973,5517,4674,6450,2823,4242,4989,5211
"CYP4B1",242,200,154,196,141,182,167,193
"CYP4Z2P",8,13,16,17,16,10,9,10
"CYP4A11",2,0,0,0,0,1,0,1
"CYP4X1",5,18,7,5,1,7,9,7
"CYP4Z1",9,5,4,4,7,9,1,1
"CYP4A22",4,1,2,4,4,2,0,2
"LINC00853",133,84,116,111,76,69,102,92
"PDZK1IP1",0,2,0,0,1,2,0,0
"TAL1",0,1,0,0,0,0,0,0
"STIL",3141,2897,2622,3554,1499,2489,2508,2365
"CMPK1",3006,3099,3940,3515,2026,3229,2819,2562
"FOXE3",3,6,1,8,2,7,3,1
"FOXD2-AS1",340,270,211,328,224,247,198,261
"FOXD2",183,130,129,176,110,142,108,155
"TRABD2B",33,36,22,30,27,43,22,23
"SLC5A9",4,1,1,2,1,1,1,1
"SPATA6",103,80,107,132,41,74,83,84
"AGBL4",2,3,0,6,1,4,2,1
"BEND5",3,2,1,3,5,2,2,1
"AGBL4-AS1",0,0,0,1,1,0,0,0
"ELAVL4",0,0,1,0,0,0,0,0
"DMRTA2",0,0,1,0,0,0,1,0
"FAF1",2201,1928,1646,2451,1478,1923,1788,1789
"CDKN2C",1196,1126,1124,1280,858,1138,1028,1285
"RNF11",2370,2435,2602,2543,1137,2048,2034,2320
"TTC39A",8732,9960,7132,9804,6857,9130,8171,8901
"EPS15",3786,3960,3450,4446,1848,3219,3790,3545
"OSBPL9",11730,13368,12431,13963,6833,11911,12596,11820
"NRDC",13184,11769,10852,14534,7880,10610,10958,10889
"RAB3B",83,44,42,75,25,42,62,71
"TXNDC12",2817,2456,2870,3244,1813,2598,2412,2157
"TXNDC12-AS1",5,4,5,3,0,1,2,1
"BTF3L4",2834,2809,3477,3413,1817,2937,2526,2211
"ZFYVE9",1665,1587,1282,1761,905,1104,1401,1475
"CC2D1B",3420,3014,2409,3698,2080,2689,2293,2901
"ORC1",2385,2041,1248,2607,1289,1852,1466,1555
"PRPF38A",3484,2898,2565,4101,2068,2838,2597,2689
"COA7",1789,1790,1332,1859,996,1516,1415,1600
"ZYG11B",1197,1167,1175,1122,514,908,910,968
"ZYG11A",1177,990,935,1318,514,800,912,763
"ECHDC2",2291,1977,1934,2404,1498,1919,1813,1989
"SCP2",3398,3738,3854,4181,1899,3606,3495,3155
"PODN",1,2,0,0,0,0,0,0
"SLC1A7",0,1,0,0,2,0,0,0
"CPT2",4258,4080,3333,4506,2523,3560,3810,4299
"CZIB",1829,1564,1424,1851,1206,1589,1482,1388
"MAGOH",1769,1601,1624,2265,1409,1852,1500,1322
"MAGOH-DT",63,58,76,103,54,70,63,75
"LRP8",4150,5701,3334,4567,2383,4149,3432,3982
"GLIS1",3,1,2,1,0,1,3,4
"NDC1",3130,2966,3198,3351,1897,2899,2566,2661
"YIPF1",3749,3119,3412,3924,2166,3107,3467,3100
"DIO1",270,237,305,285,143,220,306,254
"HSPB11",2144,1904,2822,2602,1434,2423,2128,1434
"LRRC42",4029,3358,3278,4112,2251,3217,3479,3368
"LDLRAD1",23,43,12,33,23,34,33,35
"TMEM59",6412,5490,6454,7818,3641,5955,5319,4915
"TCEANC2",551,477,445,603,347,482,447,463
"CDCP2",0,0,0,1,1,0,1,0
"CYB5RL",457,392,281,450,186,305,372,423
"MRPL37",8185,7157,5891,8462,5978,6785,6240,7135
"SSBP3",2692,2187,1737,2731,1286,1651,1724,2072
"SSBP3-AS1",47,35,31,39,13,25,20,26
"ACOT11",30,23,8,28,21,35,21,35
"FAM151A",0,1,1,0,1,3,0,2
"TTC4",34,30,15,42,25,28,15,28
"PARS2",444,421,396,481,305,337,434,548
"LEXM",5,4,7,4,3,11,1,6
"DHCR24",32214,32634,21685,34410,20024,27024,25982,30696
"TMEM61",6,7,4,6,8,12,7,8
"BSND",5,1,0,2,1,0,1,0
"PCSK9",0,1,3,0,1,1,1,0
"USP24",3765,3782,3027,3893,1676,2718,3245,3463
"PLPP3",1248,1083,589,1236,444,730,718,698
"PRKAA2",161,190,153,193,75,129,148,122
"FYB2",76,241,124,72,116,182,111,85
"C8B",1,0,0,0,0,0,0,0
"DAB1",2,1,2,0,0,0,1,0
"OMA1",1002,1035,1224,1239,541,1046,958,833
"TACSTD2",15434,12355,12625,18332,9969,14894,11457,12044
"MYSM1",2052,2512,2203,2295,871,1601,2042,2119
"JUN",18931,12677,8147,28034,10218,12853,9034,7608
"FGGY-DT",0,0,1,0,0,0,0,0
"FGGY",488,429,385,512,356,420,384,465
"HOOK1",2123,2157,2182,2527,1029,1645,1841,1800
"CYP2J2",2421,2164,1901,2619,1472,2154,1958,1905
"C1orf87",0,0,0,0,0,0,0,1
"NFIA",1776,1575,1733,1940,1018,1491,1679,1600
"NFIA-AS1",1,2,2,2,0,0,2,0
"TM2D1",513,464,472,644,289,451,317,359
"PATJ",8496,5600,5608,9159,2948,4480,6009,6133
"L1TD1",0,0,1,0,0,0,0,1
"KANK4",2,0,0,0,0,1,3,1
"USP1",3841,3919,3865,4352,1771,3535,2959,2505
"DOCK7",2599,2511,2170,2837,1072,1868,2231,2105
"ANGPTL3",5,9,11,6,2,0,10,2
"ATG4C",501,500,586,567,270,531,406,342
"FOXD3-AS1",118,81,119,151,100,146,78,81
"FOXD3",40,53,35,59,44,58,27,46
"ALG6",550,638,906,590,342,652,519,487
"ITGB3BP",437,376,688,553,243,555,363,283
"EFCAB7",181,213,236,256,123,206,182,170
"PGM1",527,464,333,497,348,371,335,429
"ROR1",34,27,23,39,12,15,25,26
"UBE2U",0,0,0,1,0,0,0,0
"CACHD1",140,132,75,125,56,89,93,121
"RAVER2",1206,1137,1140,1276,623,1057,1015,993
"JAK1",8474,8977,7237,9398,4529,6760,8109,8203
"MIR3671",1,0,1,0,0,0,1,3
"MIR101-1",0,0,0,1,0,0,0,0
"AK4",2422,2593,2493,2520,1548,2527,2227,2217
"DNAJC6",359,362,198,296,124,229,265,280
"LEPROT",2318,2186,2324,2636,1266,1993,2053,1905
"LEPR",110,125,149,142,62,90,104,138
"PDE4B",763,268,228,815,109,176,306,246
"SGIP1",1,0,1,0,0,0,0,0
"DNAI4",129,114,119,160,66,141,144,120
"MIER1",1288,1107,1164,1378,582,952,1001,874
"SLC35D1",860,879,730,804,458,680,755,795
"C1orf141",0,1,0,0,0,0,0,0
"IL23R",1,0,0,0,0,0,0,1
"IL12RB2",7,8,10,8,0,3,8,10
"SERBP1",13516,13520,12276,17031,8911,13851,10331,10536
"GADD45A",331,284,223,494,183,267,208,192
"GNG12",1876,1626,1888,2041,937,1349,1489,1537
"GNG12-AS1",8,3,4,10,4,5,10,16
"WLS",90,59,60,94,24,40,58,46
"DEPDC1",946,846,1137,1097,507,821,783,651
"DEPDC1-AS1",7,5,5,12,4,6,10,7
"LRRC7",73,95,93,71,30,67,60,54
"PIN1P1",0,0,1,0,0,0,1,0
"LRRC40",627,687,779,760,342,610,507,498
"SRSF11",6954,7228,6507,7954,3293,5644,6331,5949
"ANKRD13C",1321,1297,1195,1526,654,1181,1122,1050
"HHLA3",400,252,346,364,216,299,410,390
"CTH",232,264,210,306,144,218,200,202
"PTGER3",42,44,47,53,18,34,22,29
"ZRANB2",1833,1860,1837,2271,1018,1695,1417,1458
"MIR186",3,2,4,3,2,0,2,1
"NEGR1",0,1,0,0,0,0,1,0
"LRRIQ3",4,5,8,12,2,4,2,5
"FPGT",220,200,292,247,121,217,191,216
"CRYZ",1839,1756,1730,2156,983,1530,1726,1685
"TYW3",882,893,992,993,507,884,842,728
"SLC44A5",2,0,0,0,0,1,0,1
"ACADM",1518,1633,1516,1935,897,1400,1526,1520
"RABGGTB",2573,2477,2276,3248,1665,2754,1791,1647
"SNORD45C",6,2,2,0,0,3,1,0
"SNORD45A",18,34,15,22,6,11,16,14
"SNORD45B",5,28,26,18,8,14,11,18
"MSH4",7,0,0,2,1,1,2,0
"ST6GALNAC5",92,60,57,145,19,31,57,50
"PIGK",1074,1156,1159,1229,646,1025,1003,937
"AK5",1,1,3,1,2,0,0,3
"ZZZ3",3150,3116,2843,3518,1486,2387,2694,2590
"USP33",2421,2317,2599,2769,1099,1975,2041,2072
"MIGA1",732,773,758,787,327,514,682,812
"NEXN-AS1",2,0,1,1,0,1,1,0
"NEXN",108,98,87,115,63,71,75,78
"FUBP1",9178,8785,6662,11125,4836,6810,6870,6995
"DNAJB4",224,195,200,357,120,149,201,174
"GIPC2",1,2,0,0,1,0,6,2
"IFI44L",6703,5868,3894,8032,3714,5389,3501,3417
"IFI44",4108,3770,3291,5305,2465,3682,2600,2588
"ADGRL2",45,39,34,42,16,16,27,39
"LINC01361",3,0,4,4,2,1,1,1
"LINC01725",15,8,7,12,7,9,11,10
"TTLL7",174,124,118,204,75,97,135,117
"PRKACB",818,874,886,957,349,669,792,680
"SAMD13",29,18,19,32,9,14,16,19
"DNASE2B",7,1,1,2,1,5,3,2
"RPF1",1610,1597,1782,2249,1060,1818,1230,1139
"GNG5",2087,2040,2802,2578,1462,2570,1797,1391
"SPATA1",31,26,25,21,8,13,16,20
"CTBS",455,510,596,557,248,422,436,443
"LINC01555",1,0,1,2,2,1,0,0
"SSX2IP",1215,1155,1349,1405,634,1034,1090,1077
"LPAR3",1,0,0,0,0,0,1,1
"MCOLN2",37,94,49,60,30,80,45,39
"MCOLN3",44,46,40,61,14,44,30,33
"DNAI3",4,4,11,13,7,14,6,10
"SYDE2",1829,1925,1713,2085,848,1448,1458,1460
"C1orf52",928,788,854,1159,595,805,680,660
"BCL10",1238,1053,906,1424,555,797,972,892
"DDAH1",1113,1068,1251,1278,626,983,1018,1044
"CCN1",37537,23325,14592,48218,15383,16979,17624,13505
"ZNHIT6",917,783,929,1013,550,871,774,803
"COL24A1",48,28,38,57,19,22,33,27
"ODF2L",377,332,453,442,184,320,362,302
"MIR7856",2,0,0,0,0,0,0,0
"CLCA2",6,3,1,1,1,2,4,8
"CLCA4",0,0,0,0,0,1,0,0
"CLCA4-AS1",8,5,4,11,6,1,5,2
"SH3GLB1",2356,2255,2297,2693,1398,2358,2098,1980
"SELENOF",3555,3413,3736,4416,2299,3747,2960,2745
"HS2ST1",1972,1924,2083,2140,978,1670,1808,1751
"LINC01140",8,13,16,16,6,6,21,11
"LINC02801",0,0,1,0,0,0,0,0
"LMO4",1037,956,1335,1273,657,1033,1052,1025
"LINC01364",0,0,0,1,0,0,0,0
"PKN2-AS1",25,26,23,42,15,24,16,17
"PKN2",2401,2520,2486,2878,970,1830,2040,2220
"GTF2B",1406,1226,1507,1865,888,1401,1326,1309
"KYAT3",1163,1053,1513,1487,596,1167,1064,868
"RBMXL1",2735,2387,1943,3006,1208,1869,1903,1675
"GBP3",441,344,213,558,196,264,264,277
"GBP1",710,494,209,1192,343,296,390,253
"GBP2",657,333,199,1035,251,219,320,222
"GBP7",4,2,0,4,1,0,1,1
"GBP4",180,123,72,164,51,98,77,81
"GBP5",22,9,8,24,12,11,11,18
"GBP6",1,0,0,2,1,1,3,0
"GBP1P1",6,4,6,6,4,8,4,7
"LRRC8B",2027,1887,1825,2057,775,1413,1529,1499
"LRRC8C",477,288,243,587,150,224,216,220
"LRRC8C-DT",2,5,1,6,5,0,4,1
"LRRC8D",3235,3280,2937,3275,1718,2754,2569,2587
"ZNF326",1615,1373,1277,1865,919,1384,1334,1325
"ZNF644",1934,1581,1673,2538,612,1226,1290,1247
"HFM1",6,12,15,9,2,8,4,6
"CDC7",1356,1330,1321,1605,811,1266,1114,1069
"TGFBR3",82,79,71,106,37,47,72,68
"BRDT",4,12,15,16,21,17,11,4
"EPHX4",56,70,75,67,59,85,68,36
"SETSIP",73,68,55,67,25,53,53,53
"BTBD8",28,36,32,31,15,12,17,16
"C1orf146",0,3,0,0,3,4,0,1
"GLMN",289,355,552,382,218,478,274,227
"RPAP2",623,588,684,773,349,563,590,443
"GFI1",248,342,248,300,185,294,213,245
"EVI5",534,524,528,664,264,392,549,610
"RPL5",25994,24768,24533,33551,20207,30119,22083,19624
"DIPK1A",527,404,384,546,179,315,390,362
"SNORD21",49,43,40,61,11,32,30,35
"SNORA66",50,25,20,48,25,38,32,30
"MTF2",1390,1214,1202,1608,595,1027,1150,1043
"TMED5",1343,1498,1371,1641,729,1288,1011,1210
"CCDC18",496,499,603,601,252,489,428,312
"DR1",2068,2004,1686,2327,1025,1646,1543,1772
"FNBP1L",3070,2780,2518,3389,1304,2111,2425,2367
"BCAR3",2940,2477,1966,3232,1473,2064,2159,2365
"MIR760",0,0,2,1,0,2,0,0
"DNTTIP2",4140,3906,3850,5455,2497,3810,3535,2908
"GCLM",1467,1623,1578,1750,909,1458,1402,1452
"ABCA4",1969,1915,1479,2298,1094,1357,1805,1931
"ARHGAP29",5421,5449,5754,5334,2170,3732,4952,4943
"ABCD3",1971,2451,2609,2576,1227,2465,2212,1824
"F3",88,83,67,102,126,169,131,185
"SLC44A3-AS1",7,6,1,10,1,1,4,3
"SLC44A3",153,156,109,175,96,175,136,144
"CNN3",7,22,10,4,9,8,8,11
"ALG14",212,267,229,261,153,280,185,164
"ALG14-AS1",1,0,0,0,0,1,1,0
"TLCD4",267,224,263,278,127,187,221,235
"TLCD4-RWDD3",2,7,3,4,0,5,1,2
"RWDD3-DT",4,4,7,2,1,1,2,2
"RWDD3",87,101,176,114,75,136,61,67
"PTBP2",539,576,605,565,282,493,400,359
"DPYD",0,2,0,1,0,0,0,2
"SNX7",150,124,93,151,68,99,107,80
"PLPPR4",1,0,0,0,0,0,0,0
"PALMD",6,9,14,12,2,2,4,3
"FRRS1",216,197,154,249,95,172,161,232
"AGL",1264,1384,1284,1375,517,883,1157,1252
"SLC35A3",1885,1862,2287,2046,914,1705,1549,1523
"MFSD14A",3005,2888,2483,3005,1286,2075,2448,2590
"SASS6",625,641,717,709,346,512,497,576
"TRMT13",351,360,395,420,186,309,331,326
"LRRC39",15,22,32,19,10,14,33,16
"DBT",1292,1220,1253,1400,703,1002,1237,1190
"RTCA",1171,1182,1184,1498,911,1243,1064,1024
"MIR553",4,3,2,0,0,1,1,0
"CDC14A",198,199,186,204,90,156,176,157
"GPR88",0,1,0,0,0,0,0,0
"EXTL2",388,358,463,455,182,385,343,261
"SLC30A7",1110,1112,1221,1151,635,1040,914,955
"DPH5",1002,1062,1012,1197,722,1110,875,758
"S1PR1",0,0,0,0,0,0,1,0
"COL11A1",1,0,3,0,0,0,0,0
"RNPC3-DT",2,0,0,0,0,0,0,0
"RNPC3",287,320,368,349,106,278,250,246
"AMY2B",24,30,41,23,22,17,15,17
"PRMT6",12715,13204,12109,15052,8077,12763,9833,10607
"NTNG1",34,24,11,23,14,12,19,26
"VAV3",1003,1192,1120,1096,656,1008,963,986
"SLC25A24",6374,6558,5815,7193,2721,4596,5306,5892
"NBPF4",360,456,366,325,245,424,394,444
"NBPF6",143,202,180,171,103,177,161,133
"FAM102B",8735,6725,7361,10766,3627,5274,6325,6002
"HENMT1",3537,3085,2976,4135,2343,3240,2959,2843
"PRPF38B",7366,6975,6161,9344,4239,6554,6065,5785
"FNDC7",0,3,5,5,3,0,4,3
"STXBP3",3664,3760,4272,4643,1879,3250,3289,3207
"AKNAD1",5,15,12,10,16,35,23,19
"SPATA42",0,1,1,0,2,3,0,0
"GPSM2",4375,4311,4365,5105,2219,3989,4323,4097
"CLCC1",4759,4609,3946,5276,3016,4173,3972,4197
"WDR47",1556,1394,1193,1755,642,1061,1210,1211
"TAF13",1313,1175,1168,1586,697,1110,1221,1158
"TMEM167B",3359,3324,3690,4040,2021,3290,3046,2844
"SCARNA2",12,5,7,20,9,24,6,7
"CFAP276",99,149,145,117,128,144,181,165
"ELAPOR1",34688,72594,41777,38314,38904,55121,49895,51701
"SARS1",22214,21478,15850,23857,16119,19812,17854,19759
"CELSR2",14625,17008,9007,14663,7562,11461,8907,13790
"PSRC1",4276,4050,3249,4649,3321,3662,3225,3628
"MYBPHL",5,10,7,16,10,8,8,7
"SORT1",15753,15825,12229,15693,8855,12054,14286,14741
"PSMA5",26478,22222,20591,31315,19327,23792,20222,19098
"SYPL2",49,49,27,45,13,39,29,31
"ATXN7L2",1380,1310,1077,1619,916,1178,876,1151
"CYB561D1",3943,3816,3231,3603,2679,3346,3532,4656
"AMIGO1",1070,1140,707,1129,660,884,909,983
"GPR61",30,36,50,28,16,27,37,25
"GNAI3",11293,9850,10993,13405,6081,9235,9163,8417
"MIR197",5,2,3,3,0,0,1,4
"GNAT2",55,50,64,49,27,50,62,60
"AMPD2",7109,6582,5021,7645,4577,5736,4354,6129
"GSTM4",6072,5920,4994,5951,4423,5651,5661,6012
"GSTM2",209,209,211,236,151,194,209,205
"GSTM1",185,181,163,168,121,148,176,154
"GSTM5",0,1,1,6,2,4,1,5
"GSTM3",28620,25360,28395,33008,23002,28056,31041,27989
"EPS8L3",40,68,33,39,50,57,29,42
"CSF1",1624,1540,741,1678,1011,1258,740,1071
"AHCYL1",14642,14991,13151,16152,8377,13178,13359,12943
"STRIP1",5106,4241,3385,5152,2679,3290,3675,4814
"ALX3",221,221,239,185,161,173,224,289
"LINC01397",10,14,9,7,5,5,5,7
"UBL4B",22,8,11,9,6,13,5,9
"SLC6A17",14,27,12,11,7,21,13,18
"KCNC4",201,219,111,213,151,220,87,158
"RBM15-AS1",33,24,22,28,24,37,32,30
"RBM15",3297,2573,2022,3540,1588,2131,2151,2088
"SLC16A4",168,144,155,165,65,147,112,130
"LAMTOR5",4697,3875,4904,5587,3584,4682,3980,3569
"PROK1",4,4,10,4,0,6,2,4
"KCNA2",1,0,0,0,0,0,0,0
"CD53",4,8,10,15,4,7,10,7
"LRIF1",1082,887,951,1277,464,697,847,743
"DRAM2",1128,1028,1408,1459,624,1201,965,833
"CEPT1",1742,1538,1978,1984,995,1596,1379,1406
"DENND2D",4356,3332,2761,4740,2278,3125,3151,3268
"CHI3L2",0,1,3,9,0,0,2,0
"CHIA",1,0,2,0,2,0,0,0
"PIFO",14,10,8,22,9,6,8,7
"OVGP1",173,161,182,192,165,177,207,206
"WDR77",6220,6413,4895,6680,4489,6404,5493,5548
"ATP5PB",15295,14263,15195,19243,10964,16669,13515,11655
"C1orf162",25,13,22,34,11,25,24,19
"TMIGD3",1,0,0,0,0,0,0,0
"ADORA3",6,1,0,2,0,1,1,3
"RAP1A",3007,2427,2703,3649,1741,2590,2552,2197
"INKA2",1119,801,752,1057,584,760,829,883
"DDX20",3112,2992,2991,3594,1571,2721,2555,2511
"KCND3",42,38,17,40,28,39,21,31
"KCND3-IT1",0,0,0,0,0,0,1,2
"LINC01750",50,47,56,72,28,52,45,41
"CTTNBP2NL",1468,1096,1037,1495,510,765,996,1177
"WNT2B",40,41,29,61,15,30,21,42
"ST7L",963,878,790,1097,537,881,753,642
"CAPZA1",12043,11551,13939,14111,6446,10840,10798,9403
"MOV10",22378,17584,13502,23289,11353,14262,14028,18409
"RHOC",22922,16861,15799,26244,17845,18111,15548,19567
"PPM1J",340,299,220,377,213,235,181,272
"TAFA3",8,7,0,8,3,1,5,3
"LINC01356",0,0,0,0,0,2,0,0
"SLC16A1",1158,1473,1026,1321,839,1294,896,914
"SLC16A1-AS1",13,12,6,8,7,13,6,11
"LRIG2-DT",8,3,3,5,2,6,3,6
"LRIG2",1852,1606,1540,1919,967,1354,1465,1448
"MAGI3",3820,3693,2887,3954,1427,2446,3172,2905
"PHTF1",2467,2185,2151,2783,1323,1973,2093,1960
"RSBN1",2915,3188,3106,3208,1428,2491,2559,2749
"AP4B1-AS1",569,556,556,635,291,446,519,499
"PTPN22",48,56,56,65,53,55,47,48
"BCL2L15",233,195,245,210,162,230,218,221
"AP4B1",6429,6085,4666,6944,4430,5635,4913,5407
"DCLRE1B",11985,11573,8688,12178,6850,9660,9855,10501
