"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"VPS50",2540,2345,2528,2989,1057,2052,2133,2002
"CALCR",49,58,58,69,22,46,50,60
"MIR4652",0,0,1,0,0,1,1,0
"TFPI2",51,27,23,74,17,29,17,31
"GNGT1",13,5,12,10,6,9,5,7
"BET1",1056,1010,1137,1271,710,1060,914,945
"COL1A2",62,6,35,13,3,9,6,2
"CASD1",753,782,1135,856,383,725,725,741
"SGCE",89,54,62,68,40,59,63,62
"PEG10",1002,977,888,1119,480,673,1068,1212
"PPP1R9A",1019,952,857,1070,456,736,1032,870
"PON1",2,0,0,2,0,0,0,2
"PON3",0,2,0,0,0,0,0,0
"PON2",1311,1296,1607,1599,875,1433,1192,989
"PDK4",40,29,23,54,114,134,66,119
"DYNC1I1",503,431,322,484,249,377,387,384
"SLC25A13",7161,6493,5820,7593,3859,5573,5847,5729
"MIR591",0,0,0,0,0,0,0,1
"SEM1",10767,8835,9364,14448,9636,12904,9473,8184
"DLX5",20,14,31,27,11,19,30,27
"SDHAF3",0,0,0,0,0,0,0,1
"ASNS",6394,6600,5617,7084,4059,6169,4890,4867
"MIR5692A1",0,0,0,0,0,1,0,0
"MIR5692C2",1,2,0,2,0,1,0,0
"OCM2",0,0,0,0,0,0,0,1
"LMTK2",8075,7858,6067,8316,4028,5660,6122,7499
"BHLHA15",7,1,2,13,0,2,3,2
"TECPR1",2277,1851,1425,2719,1480,1853,1228,1770
"BRI3",1551,1148,1139,1654,1249,1338,900,1064
"BAIAP2L1",3207,2813,2231,3569,2324,2749,2249,2589
"NPTX2",0,0,1,0,0,0,1,0
"TMEM130",38,40,49,55,13,27,53,51
"TRRAP",25695,25605,15902,25001,10240,16169,17330,22337
"MIR3609",3,0,0,2,0,0,2,0
"SMURF1",9227,8497,5695,9274,4662,6401,6584,7467
"KPNA7",55,44,22,29,18,28,31,37
"ARPC1A",21148,17547,15517,23396,14693,16973,15367,15892
"ARPC1B",16310,13685,12941,22957,13433,18921,10215,12617
"PDAP1",21405,18662,16472,24602,17195,20667,15804,17943
"BUD31",5629,4810,4310,6554,3833,4859,4805,4774
"PTCD1",4,7,7,13,16,12,2,3
"CPSF4",7964,6939,5788,8191,5355,6523,5316,6284
"ATP5MF",9323,6854,7697,10415,7366,8456,8050,6678
"ZNF789",2413,2457,2297,2700,1435,2138,2234,1927
"ZNF394",3345,2542,2540,3866,2379,2958,2690,2539
"ZKSCAN5",2753,2245,2156,2926,1485,1921,2313,2338
"FAM200A",206,199,277,276,136,191,208,198
"ZNF655",0,2,2,0,0,3,0,1
"TMEM225B",0,0,0,0,0,1,0,0
"ZSCAN25",2546,2543,2259,2800,1354,2104,2022,2357
"CYP3A5",30,30,35,26,7,16,27,35
"CYP3A7-CYP3A51P",2,0,0,1,2,0,0,5
"CYP3A7",0,0,0,0,0,0,2,0
"CYP3A4",1,0,0,2,0,2,0,1
"CYP3A43",0,0,0,0,0,1,0,0
"OR2AE1",0,2,1,0,0,0,0,1
"TRIM4",2924,2556,2644,3299,1351,2232,2945,2911
"GJC3",32,29,31,33,13,24,26,31
"AZGP1",1,10,3,2,27,14,10,5
