"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"AK3",17033,13459,13431,12768,12229,12978
"AK4",12625,11152,10107,9524,9521,10333
"AK5",109,79,77,74,63,77
"AK6",0,0,0,0,0,0
"AK7",174,150,159,151,132,131
"AK8",17,15,17,15,18,14
"AK9",748,547,629,536,533,533
"AKAIN1",1,1,1,0,1,0
"AKAP1",13257,10901,11450,10334,10913,10402
"AKAP10",10914,8697,9345,8450,8593,8825
"AKAP11",19541,17635,18703,17052,16828,17742
"AKAP12",19082,20163,16554,16128,16082,17592
"AKAP13",17529,19149,17879,16400,16859,17112
"AKAP14",10,10,6,7,7,9
"AKAP17A",14,18,32,23,31,14
"AKAP3",176,125,121,127,126,114
"AKAP4",0,0,0,0,0,0
"AKAP5",4064,3248,3577,3327,3124,3172
"AKAP6",376,297,320,300,301,325
"AKAP7",1512,1128,1118,1139,1092,1099
"AKAP8",7666,5886,6520,5968,6158,6053
"AKAP8L",9019,6942,8493,7599,7644,6620
"AKAP9",8320,7850,8629,7624,7891,7705
"AKIP1",6648,4894,5124,4847,4950,4831
"AKIRIN1",22489,16614,17959,16311,15438,16547
"AKIRIN2",8667,6460,6821,6199,5840,6047
"AKNA",5958,5963,5099,5066,5677,5106
"AKNAD1",12,17,10,20,13,13
"AKR1A1",13217,9646,10099,9874,9736,9702
"AKR1B1",23097,17209,17754,16736,17016,16823
"AKR1B10",133,78,90,78,82,77
"AKR1B15",9,3,1,5,4,3
"AKR1C1",158,87,106,90,82,100
"AKR1C2",19,8,18,9,16,12
"AKR1C3",995,688,749,599,665,776
"AKR1C4",6,1,6,2,3,0
"AKR1C8",2,0,2,0,1,0
"AKR1D1",18,9,7,14,14,7
"AKR1E2",15,6,6,8,8,4
"AKR7A2",9686,7313,7593,6855,7035,6901
"AKR7A3",82,68,105,74,68,48
"AKR7L",74,48,65,60,75,40
"AKT1",35391,26742,28994,26286,28367,27243
"AKT1S1",10902,7731,8397,7834,8181,7815
"AKT2",19120,14779,16094,15091,15517,14778
"AKT3",102,463,69,77,80,97
"AKTIP",2643,2042,2181,1993,1987,2006
"ALAD",7090,5526,6140,5498,5777,5609
"ALAS1",13596,10202,11230,10525,10530,10210
"ALAS2",11,5,10,6,8,8
"ALB",0,0,1,1,1,4
"ALCAM",82754,77001,70331,66170,63947,66838
"ALDH16A1",10457,7572,8688,7821,8609,8056
"ALDH18A1",24594,19121,20585,19098,19629,19460
"ALDH1A1",8,4,10,9,4,5
"ALDH1A2",36,40,42,37,33,35
"ALDH1A3",5968,4154,4583,4432,4311,4369
"ALDH1A3-AS1",34,43,41,51,64,43
"ALDH1B1",16558,11289,12011,11930,12150,12233
"ALDH1L1",177,124,181,186,165,141
"ALDH1L1-AS1",1,0,2,0,1,0
"ALDH1L1-AS2",3,1,0,0,1,1
"ALDH1L2",2683,2425,2706,2405,2387,2350
"ALDH2",3502,2537,2818,2621,2556,2339
"ALDH3A1",22,15,9,20,15,9
"ALDH3A2",13062,9613,10367,9432,9496,10053
"ALDH3B1",5307,4082,4318,3967,4394,4089
"ALDH3B2",1,2,4,0,2,1
"ALDH4A1",4720,3554,3661,3407,3787,3523
"ALDH5A1",5510,4522,4882,4625,4539,4318
"ALDH6A1",4102,3157,3271,2984,3100,3055
"ALDH7A1",16419,12643,13204,12440,12065,12625
"ALDH8A1",71,46,57,43,41,45
"ALDH9A1",22871,17842,18196,17461,16786,17550
"ALDOA",116744,84506,95156,89382,94713,88160
"ALDOB",8,15,5,6,4,7
"ALDOC",159,132,168,146,139,145
"ALG1",3740,2886,3093,2850,2996,2673
"ALG10",2674,2095,2399,2194,2135,2113
"ALG10B",5076,4148,5118,4583,4492,4156
"ALG11",1757,1568,1488,1415,1515,1569
"ALG12",7043,5387,5904,5244,5735,5733
"ALG13",9672,7320,8367,7768,7352,7379
"ALG14",1538,1060,1052,1073,1033,1102
"ALG14-AS1",1,0,4,2,1,6
"ALG1L2",4,3,3,3,4,2
"ALG2",7395,5533,5964,5457,5058,5296
"ALG3",10468,7729,8141,7695,7675,7608
