"Entrez_ID","HGNC Symbol","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
10786,"SLC17A3",0,0,0,0,0,0,0,0,0,0,0,0
10246,"SLC17A2",0,0,0,0,0,0,0,0,0,0,0,0
10475,"TRIM38",575,379,304,571,230,320,358,326,1542,1794,1485,1534
3024,"H1-1",4,1,3,0,0,0,2,4,0,0,0,0
8350,"H3C1",20,20,33,27,15,12,39,31,7,3,9,6
8359,"H4C1",2,9,3,4,2,4,2,5,2,3,3,3
8366,"H4C2",9,3,10,4,6,3,4,6,3,6,9,3
8358,"H3C2",39,42,95,96,14,39,71,83,37,18,62,28
8335,"H2AC4",6,2,6,9,8,8,2,3,8,1,7,3
3018,"H2BC3",2,1,0,1,1,1,1,2,0,3,7,0
8352,"H3C3",2,0,0,0,0,1,0,0,17,15,17,11
3006,"H1-2",4980,3730,4766,5470,3403,3796,3388,4093,2413,3025,3216,2552
3077,"HFE",715,708,562,722,328,560,560,594,41,39,44,40
